-4.725528717041015625e+00,-5.029454231262207031e+00,1.501898527145385742e+00,-5.096642017364501953e+00
-7.261885643005371094e+00,-3.300314903259277344e+00,-9.656630516052246094e+00,-4.885238170623779297e+00
-7.019608497619628906e+00,-7.449230670928955078e+00,-3.009496331214904785e-01,-3.834497690200805664e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.608801007270812988e-01,-6.777358055114746094e-01,-6.737634539604187012e-01,-9.706721901893615723e-01
-5.000000000000000000e-01,-1.355000019073486328e+00,-5.510467886924743652e-01,-5.497271418571472168e-01
-1.482775092124938965e+00,-9.986900329589843750e+00,2.527170658111572266e+00,-3.817605018615722656e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.228689670562744141e+00,-6.476680278778076172e+00,4.009499549865722656e+00,-8.499053955078125000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.005301356315612793e-01,-5.366324186325073242e-01,-4.889845550060272217e-01,-2.464724779129028320e+00
-3.853781223297119141e-01,-2.432313919067382812e+00,-1.577591598033905029e-01,-4.731951653957366943e-01
-2.795482575893402100e-01,3.562799930572509766e+00,-3.989592194557189941e-01,-3.366696596145629883e+00
-9.817520141601562500e+00,4.608889579772949219e+00,-1.517860531806945801e+00,3.512854874134063721e-01
6.617421507835388184e-01,-1.268171668052673340e+00,5.665547370910644531e+00,2.443284511566162109e+00
-3.930409908294677734e+00,1.028221130371093750e+00,-7.712321281433105469e+00,-1.704247236251831055e+00
-8.128907084465026855e-01,-4.359211325645446777e-01,4.466084480285644531e+00,-1.031904935836791992e+00
-3.976436853408813477e-01,-1.410037875175476074e+00,3.895194292068481445e+00,-3.175022900104522705e-01
1.942562580108642578e+00,-5.348904132843017578e+00,-3.350590705871582031e+00,-6.154353141784667969e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.682948589324951172e+00,-9.774715423583984375e+00,6.732878684997558594e+00,6.035718917846679688e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.730002462863922119e-01,8.173621177673339844e+00,1.288040637969970703e+00,-2.710000038146972656e+00
3.529214262962341309e-01,3.633461594581604004e-01,9.852190971374511719e+00,1.247571825981140137e+00
-2.847381114959716797e+00,-3.697608232498168945e+00,-2.849528312683105469e+00,-5.604211807250976562e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.395417690277099609e+00,7.810990333557128906e+00,8.964564800262451172e-01,1.799856424331665039e+00
-9.353892326354980469e+00,8.899991989135742188e+00,4.743039131164550781e+00,5.184506416320800781e+00
4.166765213012695312e+00,9.999996185302734375e+00,2.734593629837036133e+00,6.467890739440917969e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.226348400115966797e+00,-2.183237791061401367e+00,-4.635488986968994141e+00,-3.799438238143920898e+00
-4.327249526977539062e+00,-7.666122317314147949e-01,-4.242137432098388672e+00,-1.723452568054199219e+00
-2.366672754287719727e-01,4.301670074462890625e+00,-3.791416406631469727e+00,-1.316939234733581543e+00
7.584651947021484375e+00,-1.225534677505493164e-01,-2.338740348815917969e+00,-8.724432587623596191e-01
8.899996876716613770e-01,6.031952857971191406e+00,-1.100011467933654785e+00,4.046754539012908936e-01
9.015229225158691406e+00,3.568047285079956055e-02,-1.376335620880126953e+00,5.853307843208312988e-01
